id;building;year;retrofit;area;heater;PV;STC;EV;BAT;f_TES;f_BAT;f_EV;f_PV;f_STC;gamma_PV
0;SFH;1963;2;121;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
1;SFH;1963;2;121;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
2;SFH;1963;2;121;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
3;SFH;1963;2;121;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
4;SFH;1963;2;121;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
5;SFH;1963;2;121;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
6;SFH;1963;2;121;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
7;SFH;1963;2;121;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
8;SFH;1963;2;121;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
9;SFH;1963;2;121;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
10;SFH;1963;2;121;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
11;SFH;1963;2;121;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
12;SFH;1963;2;121;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
13;SFH;1963;2;121;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
14;SFH;1963;2;121;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
15;SFH;1963;2;121;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
16;SFH;1963;2;121;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
17;SFH;1963;2;121;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
18;SFH;1963;2;121;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
19;SFH;1963;2;121;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
20;SFH;1963;2;121;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
21;SFH;1963;2;121;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
22;SFH;1963;2;121;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
23;SFH;1963;2;121;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
24;SFH;1963;2;121;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
25;SFH;1963;2;121;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
26;SFH;1963;2;121;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
27;MFH;1963;2;3129;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
28;MFH;1963;2;3129;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
29;MFH;1963;2;3129;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
30;MFH;1963;2;3129;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
31;MFH;1963;2;3129;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
32;MFH;1963;2;3129;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
33;MFH;1963;2;3129;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
34;MFH;1963;2;3129;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
35;MFH;1963;2;3129;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
36;MFH;1963;2;3129;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
37;MFH;1963;2;3129;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
38;MFH;1963;2;3129;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
39;MFH;1963;2;3129;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
