scenario;category;metric;device;year;value;unit
mixed1;optimization;tac_distr;;;202680;EUR/a
mixed1;optimization;co2_distr;;;1963;t/a
mixed1;optimization;tac_per_distr_year;;0;219432.563178;EUR/a
mixed1;optimization;co2_sum_distr_year;;0;1341.000000;t/a
mixed1;optimization;LCOE_year;;0;88.6673268258;EUR/MWh
mixed1;optimization;tac_per_distr_year;;5;193995.078002;EUR/a
mixed1;optimization;co2_sum_distr_year;;5;372.000000;t/a
mixed1;optimization;LCOE_year;;5;85.5572843855;EUR/MWh
mixed1;optimization;tac_per_distr_year;;10;183134.922237;EUR/a
mixed1;optimization;co2_sum_distr_year;;10;165.000000;t/a
mixed1;optimization;LCOE_year;;10;86.6698365269;EUR/MWh
mixed1;optimization;tac_per_distr_year;;15;171085.887737;EUR/a
mixed1;optimization;co2_sum_distr_year;;15;85.000000;t/a
mixed1;optimization;LCOE_year;;15;86.6317611913;EUR/MWh
mixed1;optimization;tac_per_distr_year;;20;165879.825168;EUR/a
mixed1;optimization;co2_sum_distr_year;;20;0.000000;t/a
mixed1;optimization;LCOE_year;;20;90.2935990019;EUR/MWh
mixed1;cost;co2_tax_total;;;0;EUR/a
mixed1;cost;total_inv_cost;;;1625712;EUR/a
mixed1;cost;total_inv_cost_unsubsidized;;;1877865;EUR/a
mixed1;cost;total_ann_inv_cost;;;115219;EUR/a
mixed1;cost;total_ann_inv_cost_unsubsidized;;;133841;EUR/a
mixed1;cost;total_om_cost;;;37096;EUR/a
mixed1;cost;supply_costs_el;;;71943;EUR/a
mixed1;cost;cap_costs_el;;;0;EUR/a
mixed1;cost;total_el_costs;;;71943;EUR/a
mixed1;cost;rev_feed_in_el;;;31872;EUR/a
mixed1;cost;supply_costs_gas;;;0;EUR/a
mixed1;cost;cap_costs_gas;;;0;EUR/a
mixed1;cost;total_gas_costs;;;0;EUR/a
mixed1;cost;rev_feed_in_gas;;;0;EUR/a
mixed1;cost;supply_costs_biom;;;0;EUR/a
mixed1;cost;supply_costs_waste;;;0;EUR/a
mixed1;cost;supply_costs_hydrogen;;;0;EUR/a
mixed1;co2;co2_onsite_emissions;;;0;t/a
mixed1;co2;co2_credit_feedin;;;0;t/a
mixed1;co2;total_co2_el;;;0.0;t/a
mixed1;co2;total_co2_el_feed_in;;;0.0;t/a
mixed1;co2;total_co2_gas;;;0;t/a
mixed1;co2;total_co2_gas_feed_in;;;0;t/a
mixed1;co2;total_co2_biom;;;0;t/a
mixed1;co2;total_co2_waste;;;0;t/a
mixed1;co2;total_co2_hydrogen;;;0;t/a
mixed1;grid;from_el_grid_total;;;14826;MWh
mixed1;grid;to_el_grid_total;;;8409;MWh
mixed1;grid;from_el_main_grid_total;;;14826;MWh
mixed1;grid;to_el_main_grid_total;;;8409;MWh
mixed1;grid;from_network_total;;;0;MWh
mixed1;grid;to_network_total;;;0;MWh
mixed1;grid;from_gas_grid_total;;;0;MWh
mixed1;grid;to_gas_grid_total;;;0;MWh
mixed1;grid;biom_import_total;;;0;MWh
mixed1;grid;waste_import_total;;;0;MWh
mixed1;grid;hydrogen_import_total;;;0;MWh
mixed1;grid;max_el_from_grid;;;608;kW
mixed1;grid;max_el_to_grid;;;450;kW
mixed1;grid;max_el_from_main_grid;;;608;kW
mixed1;grid;max_el_to_main_grid;;;450;kW
mixed1;grid;max_el_from_network;;;0;kW
mixed1;grid;max_el_to_network;;;0;kW
mixed1;grid;max_gas_from_grid;;;0;kW
mixed1;grid;max_gas_to_grid;;;0;kW
mixed1;grid;max_biom;;;0;
mixed1;grid;max_waste;;;0;
mixed1;grid;max_hydrogen;;;0;
mixed1;area;PV;PV;;3247;qm
mixed1;area;STC;STC;;0;qm
mixed1;storage_volume;vol_liter;TES;;52767.6;l
mixed1;storage_volume;vol_liter;CTES;;0;l
mixed1;device;capacity;PV;;646.2;kW
mixed1;device_cost;inv;PV;;646230.39;EUR
mixed1;device_cost;inv_unsubsidized;PV;;646230.39;EUR
mixed1;device_cost;ann_inv;PV;;47508.75;EUR/a
mixed1;device_cost;ann_inv_unsubsidized;PV;;47508.75;EUR/a
mixed1;device_cost;om_cost;PV;;12924.61;EUR/a
mixed1;device;capacity;HP;;503.4;kW
mixed1;device_cost;inv;HP;;360816.54;EUR
mixed1;device_cost;inv_unsubsidized;HP;;601360.9;EUR
mixed1;device_cost;ann_inv;HP;;26526.05;EUR/a
mixed1;device_cost;ann_inv_unsubsidized;HP;;44210.09;EUR/a
mixed1;device_cost;om_cost;HP;;19844.91;EUR/a
mixed1;device;capacity;EB;;352.6;kW
mixed1;device_cost;inv;EB;;56514.86;EUR
mixed1;device_cost;inv_unsubsidized;EB;;56514.86;EUR
mixed1;device_cost;ann_inv;EB;;4154.79;EUR/a
mixed1;device_cost;ann_inv_unsubsidized;EB;;4154.79;EUR/a
mixed1;device_cost;om_cost;EB;;565.15;EUR/a
mixed1;device;capacity;TES;;1838.1;kWh
mixed1;device_cost;inv;TES;;17413.31;EUR
mixed1;device_cost;inv_unsubsidized;TES;;29022.18;EUR
mixed1;device_cost;ann_inv;TES;;1406.92;EUR/a
mixed1;device_cost;ann_inv_unsubsidized;TES;;2344.87;EUR/a
mixed1;device_cost;om_cost;TES;;377.29;EUR/a
mixed1;peak;peak_heat_uncl;;;{0: 856.0100319135257, 5: 771.4302336725261, 10: 707.3646407577348, 15: 649.4262775450616, 20: 591.3377371338069};kW
mixed1;peak;peak_power_uncl;;;109.2132635151057;kW
mixed1;peak;peak_heat_cl;;;690.1304839529668;kW
mixed1;peak;peak_power_cl;;;93.45784561719145;kW
mixed1;heat_profile_energy_by_year;heat_profile_energy_kwh;STC;0;0.0;kWh
mixed1;heat_profile_devs_by_year;heat_kW;STC;0;0;kW
mixed1;heat_profile_energy_by_year;heat_profile_energy_kwh;HP;0;2015519.145;kWh
mixed1;heat_profile_devs_by_year;heat_kW;HP;0;503;kW
mixed1;heat_profile_energy_by_year;heat_profile_energy_kwh;EB;0;53706.479;kWh
mixed1;heat_profile_devs_by_year;heat_kW;EB;0;352;kW
mixed1;heat_profile_energy_by_year;heat_profile_energy_kwh;AC;0;0.0;kWh
mixed1;heat_profile_devs_by_year;heat_kW;AC;0;0;kW
mixed1;heat_profile_energy_by_year;heat_profile_energy_kwh;CHP;0;0.0;kWh
mixed1;heat_profile_devs_by_year;heat_kW;CHP;0;0;kW
mixed1;heat_profile_energy_by_year;heat_profile_energy_kwh;BOI;0;0.0;kWh
mixed1;heat_profile_devs_by_year;heat_kW;BOI;0;0;kW
mixed1;heat_profile_energy_by_year;heat_profile_energy_kwh;GHP;0;0.0;kWh
mixed1;heat_profile_devs_by_year;heat_kW;GHP;0;0;kW
mixed1;heat_profile_energy_by_year;heat_profile_energy_kwh;BCHP;0;0.0;kWh
mixed1;heat_profile_devs_by_year;heat_kW;BCHP;0;0;kW
mixed1;heat_profile_energy_by_year;heat_profile_energy_kwh;BBOI;0;0.0;kWh
mixed1;heat_profile_devs_by_year;heat_kW;BBOI;0;0;kW
mixed1;heat_profile_energy_by_year;heat_profile_energy_kwh;WCHP;0;0.0;kWh
mixed1;heat_profile_devs_by_year;heat_kW;WCHP;0;0;kW
mixed1;heat_profile_energy_by_year;heat_profile_energy_kwh;WBOI;0;0.0;kWh
mixed1;heat_profile_devs_by_year;heat_kW;WBOI;0;0;kW
mixed1;heat_profile_energy_by_year;heat_profile_energy_kwh;FC;0;0.0;kWh
mixed1;heat_profile_devs_by_year;heat_kW;FC;0;0;kW
mixed1;tes_charge_loss_by_year;tes_charge_loss_kwh;TES;0;;MWh
mixed1;heat_profile_energy_by_year;heat_profile_energy_kwh;STC;5;0.0;kWh
mixed1;heat_profile_devs_by_year;heat_kW;STC;5;0;kW
mixed1;heat_profile_energy_by_year;heat_profile_energy_kwh;HP;5;1861869.825;kWh
mixed1;heat_profile_devs_by_year;heat_kW;HP;5;503;kW
mixed1;heat_profile_energy_by_year;heat_profile_energy_kwh;EB;5;0.0;kWh
mixed1;heat_profile_devs_by_year;heat_kW;EB;5;0;kW
mixed1;heat_profile_energy_by_year;heat_profile_energy_kwh;AC;5;0.0;kWh
mixed1;heat_profile_devs_by_year;heat_kW;AC;5;0;kW
mixed1;heat_profile_energy_by_year;heat_profile_energy_kwh;CHP;5;0.0;kWh
mixed1;heat_profile_devs_by_year;heat_kW;CHP;5;0;kW
mixed1;heat_profile_energy_by_year;heat_profile_energy_kwh;BOI;5;0.0;kWh
mixed1;heat_profile_devs_by_year;heat_kW;BOI;5;0;kW
mixed1;heat_profile_energy_by_year;heat_profile_energy_kwh;GHP;5;0.0;kWh
mixed1;heat_profile_devs_by_year;heat_kW;GHP;5;0;kW
mixed1;heat_profile_energy_by_year;heat_profile_energy_kwh;BCHP;5;0.0;kWh
mixed1;heat_profile_devs_by_year;heat_kW;BCHP;5;0;kW
mixed1;heat_profile_energy_by_year;heat_profile_energy_kwh;BBOI;5;0.0;kWh
mixed1;heat_profile_devs_by_year;heat_kW;BBOI;5;0;kW
mixed1;heat_profile_energy_by_year;heat_profile_energy_kwh;WCHP;5;0.0;kWh
mixed1;heat_profile_devs_by_year;heat_kW;WCHP;5;0;kW
mixed1;heat_profile_energy_by_year;heat_profile_energy_kwh;WBOI;5;0.0;kWh
mixed1;heat_profile_devs_by_year;heat_kW;WBOI;5;0;kW
mixed1;heat_profile_energy_by_year;heat_profile_energy_kwh;FC;5;0.0;kWh
mixed1;heat_profile_devs_by_year;heat_kW;FC;5;0;kW
